Subject,Subset,Trial,Assistance,Training,ergodicity,error,successtime,tts
1,11,5,1,0,0.62724800000000003,0.654941,1.5,17.608333999999999
1,6,1,0,0,0.83512600000000003,0.669628,0.0,30.008333
1,12,1,1,0,0.997672,0.774393,0.0,30.008333
1,6,2,0,0,0.55437899999999996,0.55739000000000005,0.0,30.008333
1,12,2,1,0,0.79554599999999998,0.69219600000000003,0.033333000000000002,27.508333
1,6,3,0,0,0.75176200000000004,0.63616300000000003,0.033333000000000002,19.258333
1,12,3,1,0,0.54638900000000001,0.59757499999999997,1.316667,17.325001
1,6,4,0,0,0.66681599999999996,0.59320600000000001,0.0,30.008333
1,12,4,1,0,0.59632700000000005,0.63932199999999995,0.51666699999999999,15.008333
1,6,5,0,0,0.68680799999999997,0.60985500000000004,0.0,30.008333
1,12,5,1,0,0.331482,0.510409,3.6000000000000001,7.125
2,1,1,0,0,0.56453200000000003,0.57747899999999996,0.0,30.008333
2,7,1,1,0,0.362981,0.51967300000000005,3.4333330000000002,17.774999999999999
2,1,2,0,0,0.60878900000000002,0.58801599999999998,0.76666699999999999,10.574999999999999
2,7,2,1,0,0.45031500000000002,0.54253799999999996,0.0,30.008333
2,1,3,0,0,0.86056699999999997,0.67256800000000005,0.13333300000000001,24.941668
2,7,3,1,0,0.29974600000000001,0.48967699999999997,3.1499999999999999,7.5916670000000002
2,1,4,0,0,0.58592,0.58158200000000004,0.0,30.008333
2,7,4,1,0,0.47427799999999998,0.53656499999999996,0.5,18.441668
2,1,5,0,0,0.61541299999999999,0.58989499999999995,0.0,30.008333
2,7,5,1,0,0.39524300000000001,0.526366,0.76666699999999999,12.558332999999999
2,2,1,0,0,0.66839899999999997,0.59607100000000002,0.0,30.008333
2,8,1,1,0,0.40106599999999998,0.51618699999999995,1.066667,24.308332
2,2,2,0,0,1.1907099999999999,0.78387899999999999,0.0,30.008333
2,8,2,1,0,0.36333799999999999,0.51274200000000003,2.1666669999999999,22.174999
2,2,3,0,0,0.60409599999999997,0.58799199999999996,0.0,30.008333
2,8,3,1,0,0.37544300000000003,0.51431400000000005,2.1333329999999999,15.908334
2,2,4,0,0,0.62427699999999997,0.597997,0.0,30.008333
2,8,4,1,0,0.28253099999999998,0.47790500000000002,4.0,7.358333
2,2,5,0,0,0.56402300000000005,0.57742599999999999,0.96666700000000005,11.558332999999999
2,8,5,1,0,0.29805399999999999,0.47974499999999998,3.8666670000000001,7.0250000000000004
2,3,1,0,0,0.49823899999999999,0.55415000000000003,0.0,30.008333
2,9,1,1,0,0.26272000000000001,0.46276600000000001,5.0833329999999997,6.3083330000000002
2,3,2,0,0,0.63609499999999997,0.60235700000000003,0.0,30.008333
2,9,2,1,0,0.379992,0.51911300000000005,1.8500000000000001,18.575001
2,3,3,0,0,0.58111500000000005,0.58218099999999995,0.0,30.008333
2,9,3,1,0,0.30612600000000001,0.48718899999999998,3.6000000000000001,13.391666000000001
2,3,4,0,0,0.62715100000000001,0.59983500000000001,0.0,30.008333
2,9,4,1,0,0.27993899999999999,0.48138500000000001,5.5333329999999998,13.375
2,3,5,0,0,0.56996599999999997,0.57086400000000004,0.0,30.008333
2,9,5,1,0,0.25273200000000001,0.46028400000000003,4.983333,4.4916669999999996
2,4,1,0,0,0.540134,0.56535199999999997,0.0,30.008333
2,10,1,1,0,0.25298100000000001,0.46876699999999999,6.3833330000000004,6.5750000000000002
2,4,2,0,0,0.59958699999999998,0.57642700000000002,0.0,30.008333
2,10,2,1,0,0.27249099999999998,0.47075400000000001,6.0999999999999996,8.5250000000000004
2,4,3,0,0,0.69445800000000002,0.62314499999999995,0.0,30.008333
2,10,3,1,0,0.35743999999999998,0.498417,2.6666669999999999,12.908334
2,4,4,0,0,0.87593699999999997,0.67903899999999995,0.34999999999999998,18.991667
2,10,4,1,0,0.37424600000000002,0.49720300000000001,1.016667,12.591666
2,4,5,0,0,0.45745000000000002,0.53638799999999998,0.61666699999999997,15.758333
2,10,5,1,0,0.29055700000000001,0.47815200000000002,5.0999999999999996,4.4083329999999998
2,5,1,0,0,0.67018200000000006,0.62512900000000005,0.0,30.008333
2,11,1,1,0,0.25722,0.469945,6.1333330000000004,8.4583329999999997
2,5,2,0,0,0.46414899999999998,0.53648499999999999,0.0,30.008333
2,11,2,1,0,0.23750099999999999,0.45429999999999998,6.0333329999999998,10.058332999999999
2,5,3,0,0,0.59281700000000004,0.57441799999999998,0.16666700000000001,11.525
2,11,3,1,0,0.29164699999999999,0.47741,4.3833330000000004,8.6916670000000007
2,5,4,0,0,0.44974700000000001,0.533667,0.55000000000000004,7.608333
2,11,4,1,0,0.30580499999999999,0.48602800000000002,3.7833329999999998,10.841666
2,5,5,0,0,0.591391,0.57352499999999995,0.0,30.008333
2,11,5,1,0,0.11919299999999999,0.40590700000000002,12.933332999999999,6.6916669999999998
2,6,1,0,0,0.69094500000000003,0.606877,0.0,30.008333
2,12,1,1,0,0.15640999999999999,0.41636899999999999,10.916667,4.2583330000000004
2,6,2,0,0,0.67160399999999998,0.59593200000000002,0.066667000000000004,12.308332999999999
2,12,2,1,0,0.30602800000000002,0.47770699999999999,4.5666669999999998,11.425000000000001
2,6,3,0,0,0.78632400000000002,0.67081900000000005,0.91666700000000001,14.191667000000001
2,12,3,1,0,0.206118,0.44108000000000003,7.7999999999999998,7.7916670000000003
2,6,4,0,0,0.51507599999999998,0.55323299999999997,0.0,30.008333
2,12,4,1,0,0.233959,0.45086199999999999,6.4000000000000004,4.4416669999999998
2,6,5,0,0,0.63910599999999995,0.61009899999999995,0.43333300000000002,4.9416669999999998
2,12,5,1,0,0.26499400000000001,0.47658200000000001,4.1166669999999996,8.6916670000000007
3,7,1,0,1,0.82585799999999998,0.68564599999999998,0.0,30.008333
3,1,1,1,1,1.3118590000000001,0.85211000000000003,0.0,30.008333
3,7,2,0,1,1.3292539999999999,0.83066300000000004,0.0,30.008333
3,1,2,1,1,0.73607199999999995,0.69048600000000004,0.55000000000000004,24.225000000000001
3,7,3,0,1,0.61192400000000002,0.592171,0.0,30.008333
3,1,3,1,1,0.87751199999999996,0.74091700000000005,0.61666699999999997,29.308332
3,7,4,0,1,0.96258100000000002,0.71386499999999997,0.0,30.008333
3,1,4,1,1,0.91466800000000004,0.72021999999999997,0.0,30.008333
3,7,5,0,1,0.74100100000000002,0.63221700000000003,1.45,27.024999999999999
3,1,5,1,1,0.69198199999999999,0.67855299999999996,1.3666670000000001,22.158332999999999
3,8,1,0,1,0.761818,0.62679700000000005,0.0,30.008333
3,2,1,1,1,0.73285199999999995,0.67957500000000004,0.56666700000000003,19.024999999999999
3,8,2,0,1,0.65546899999999997,0.60048299999999999,0.0,30.008333
3,2,2,1,1,0.88100800000000001,0.70445400000000002,0.61666699999999997,29.375
3,8,3,0,1,0.94648100000000002,0.70925899999999997,0.0,30.008333
3,2,3,1,1,1.065769,0.74992400000000004,0.0,30.008333
3,8,4,0,1,0.99135300000000004,0.68048600000000004,0.0,30.008333
3,2,4,1,1,1.105526,0.77810299999999999,0.0,30.008333
3,8,5,0,1,0.77272600000000002,0.64213799999999999,0.0,30.008333
3,2,5,1,1,1.324668,0.84682500000000005,0.0,30.008333
3,9,1,0,1,0.67746799999999996,0.60544200000000004,0.36666700000000002,17.258333
